"filename", "language", "CSS", "SQL", "PHP", "JSON", "JavaScript", "HTML", "Markdown", "comment", "blank", "total"
"c:\xampp\htdocs\HosPortal new CSS\css\contents.css", "CSS", 978, 0, 0, 0, 0, 0, 0, 8, 162, 1148
"c:\xampp\htdocs\HosPortal new CSS\css\employee-contents.css", "CSS", 2001, 0, 0, 0, 0, 0, 0, 7, 330, 2338
"c:\xampp\htdocs\HosPortal new CSS\css\index.css", "CSS", 293, 0, 0, 0, 0, 0, 0, 1, 52, 346
"c:\xampp\htdocs\HosPortal new CSS\css\meeting.css", "CSS", 475, 0, 0, 0, 0, 0, 0, 0, 67, 542
"c:\xampp\htdocs\HosPortal new CSS\css\navbar.css", "CSS", 113, 0, 0, 0, 0, 0, 0, 2, 21, 136
"c:\xampp\htdocs\HosPortal new CSS\css\prescription.css", "CSS", 488, 0, 0, 0, 0, 0, 0, 3, 83, 574
"c:\xampp\htdocs\HosPortal new CSS\css\profile.css", "CSS", 122, 0, 0, 0, 0, 0, 0, 2, 26, 150
"c:\xampp\htdocs\HosPortal new CSS\css\view-doc.css", "CSS", 76, 0, 0, 0, 0, 0, 0, 1, 15, 92
"c:\xampp\htdocs\HosPortal new CSS\employee-all-documents.php", "PHP", 0, 0, 135, 0, 0, 0, 0, 0, 22, 157
"c:\xampp\htdocs\HosPortal new CSS\employee-archive.php", "PHP", 0, 0, 266, 0, 0, 0, 0, 0, 36, 302
"c:\xampp\htdocs\HosPortal new CSS\employee-documents.php", "PHP", 0, 0, 177, 0, 0, 0, 0, 0, 32, 209
"c:\xampp\htdocs\HosPortal new CSS\employee-homepage.php", "PHP", 0, 0, 330, 0, 0, 0, 0, 0, 39, 369
"c:\xampp\htdocs\HosPortal new CSS\employee-patients.php", "PHP", 0, 0, 260, 0, 0, 0, 0, 6, 21, 287
"c:\xampp\htdocs\HosPortal new CSS\employee-prescription.php", "PHP", 0, 0, 55, 0, 0, 0, 0, 0, 13, 68
"c:\xampp\htdocs\HosPortal new CSS\extras\doctor-notifications.php", "PHP", 0, 0, 83, 0, 0, 0, 0, 4, 14, 101
"c:\xampp\htdocs\HosPortal new CSS\extras\employee-navbar.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 0, 2, 28
"c:\xampp\htdocs\HosPortal new CSS\extras\labres-template.php", "PHP", 0, 0, 39, 0, 0, 0, 0, 0, 8, 47
"c:\xampp\htdocs\HosPortal new CSS\extras\medtech-navbar.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"c:\xampp\htdocs\HosPortal new CSS\extras\medtech-profile.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\xampp\htdocs\HosPortal new CSS\extras\navbar.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\xampp\htdocs\HosPortal new CSS\extras\patient-notifications.php", "PHP", 0, 0, 138, 0, 0, 0, 0, 7, 18, 163
"c:\xampp\htdocs\HosPortal new CSS\extras\patient-profile.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\xampp\htdocs\HosPortal new CSS\extras\prescription-labresult.php", "PHP", 0, 0, 274, 0, 0, 0, 0, 5, 25, 304
"c:\xampp\htdocs\HosPortal new CSS\extras\profile.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
