Date : 2021-12-30 20:16:12
Directory : c:\xampp\htdocs\HosPortal new CSS
Total : 225 files,  57683 codes, 5519 comments, 8630 blanks, all 71832 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        101 |     42,141 |      5,051 |      6,384 |     53,576 |
| CSS        |         16 |      8,241 |        253 |        984 |      9,478 |
| PHP        |        100 |      6,491 |        100 |      1,160 |      7,751 |
| HTML       |          1 |        447 |         16 |         41 |        504 |
| SQL        |          1 |        219 |         99 |         53 |        371 |
| JSON       |          5 |        134 |          0 |          3 |        137 |
| Markdown   |          1 |         10 |          0 |          5 |         15 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                   |        225 |     57,683 |      5,519 |      8,630 |     71,832 |
| css                                                                                 |          8 |      4,546 |         24 |        756 |      5,326 |
| extras                                                                              |         10 |        639 |         16 |         74 |        729 |
| fullcalendar                                                                        |         86 |     18,837 |      1,024 |        759 |     20,620 |
| fullcalendar\locales                                                                |         78 |      2,008 |          5 |        314 |      2,327 |
| jqueryui                                                                            |         11 |     23,722 |      4,161 |      5,295 |     33,178 |
| jqueryui\external                                                                   |          1 |      6,895 |      1,911 |      2,076 |     10,882 |
| jqueryui\external\jquery                                                            |          1 |      6,895 |      1,911 |      2,076 |     10,882 |
| js                                                                                  |         16 |      3,838 |        111 |        605 |      4,554 |
| php_processes                                                                       |         74 |      3,227 |         73 |        696 |      3,996 |
| php_processes\calendar_php                                                          |          3 |         25 |          0 |          4 |         29 |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                            | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\xampp\htdocs\HosPortal new CSS\css\contents.css                                  | CSS        |        978 |          8 |        162 |      1,148 |
| c:\xampp\htdocs\HosPortal new CSS\css\employee-contents.css                         | CSS        |      2,001 |          7 |        330 |      2,338 |
| c:\xampp\htdocs\HosPortal new CSS\css\index.css                                     | CSS        |        293 |          1 |         52 |        346 |
| c:\xampp\htdocs\HosPortal new CSS\css\meeting.css                                   | CSS        |        475 |          0 |         67 |        542 |
| c:\xampp\htdocs\HosPortal new CSS\css\navbar.css                                    | CSS        |        113 |          2 |         21 |        136 |
| c:\xampp\htdocs\HosPortal new CSS\css\prescription.css                              | CSS        |        488 |          3 |         83 |        574 |
| c:\xampp\htdocs\HosPortal new CSS\css\profile.css                                   | CSS        |        122 |          2 |         26 |        150 |
| c:\xampp\htdocs\HosPortal new CSS\css\view-doc.css                                  | CSS        |         76 |          1 |         15 |         92 |
| c:\xampp\htdocs\HosPortal new CSS\employee-all-documents.php                        | PHP        |        135 |          0 |         22 |        157 |
| c:\xampp\htdocs\HosPortal new CSS\employee-archive.php                              | PHP        |        266 |          0 |         36 |        302 |
| c:\xampp\htdocs\HosPortal new CSS\employee-documents.php                            | PHP        |        177 |          0 |         32 |        209 |
| c:\xampp\htdocs\HosPortal new CSS\employee-homepage.php                             | PHP        |        330 |          0 |         39 |        369 |
| c:\xampp\htdocs\HosPortal new CSS\employee-patients.php                             | PHP        |        260 |          6 |         21 |        287 |
| c:\xampp\htdocs\HosPortal new CSS\employee-prescription.php                         | PHP        |         55 |          0 |         13 |         68 |
| c:\xampp\htdocs\HosPortal new CSS\extras\doctor-notifications.php                   | PHP        |         83 |          4 |         14 |        101 |
| c:\xampp\htdocs\HosPortal new CSS\extras\employee-navbar.php                        | PHP        |         26 |          0 |          2 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\extras\labres-template.php                        | PHP        |         39 |          0 |          8 |         47 |
| c:\xampp\htdocs\HosPortal new CSS\extras\medtech-navbar.php                         | PHP        |         19 |          0 |          2 |         21 |
| c:\xampp\htdocs\HosPortal new CSS\extras\medtech-profile.php                        | PHP        |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\HosPortal new CSS\extras\navbar.php                                 | PHP        |         20 |          0 |          2 |         22 |
| c:\xampp\htdocs\HosPortal new CSS\extras\patient-notifications.php                  | PHP        |        138 |          7 |         18 |        163 |
| c:\xampp\htdocs\HosPortal new CSS\extras\patient-profile.php                        | PHP        |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\HosPortal new CSS\extras\prescription-labresult.php                 | PHP        |        274 |          5 |         25 |        304 |
| c:\xampp\htdocs\HosPortal new CSS\extras\profile.php                                | PHP        |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\README.md                            | Markdown   |         10 |          0 |          5 |         15 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales-all.js                       | JavaScript |      1,703 |          6 |         85 |      1,794 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales-all.min.js                   | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\af.js                        | JavaScript |         24 |          0 |          4 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ar-dz.js                     | JavaScript |         25 |          0 |          4 |         29 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ar-kw.js                     | JavaScript |         25 |          0 |          4 |         29 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ar-ly.js                     | JavaScript |         25 |          0 |          4 |         29 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ar-ma.js                     | JavaScript |         25 |          0 |          4 |         29 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ar-sa.js                     | JavaScript |         25 |          0 |          4 |         29 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ar-tn.js                     | JavaScript |         25 |          0 |          4 |         29 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ar.js                        | JavaScript |         25 |          0 |          4 |         29 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\az.js                        | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\bg.js                        | JavaScript |         25 |          0 |          4 |         29 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\bn.js                        | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\bs.js                        | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ca.js                        | JavaScript |         24 |          0 |          4 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\cs.js                        | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\cy.js                        | JavaScript |         25 |          0 |          4 |         29 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\da.js                        | JavaScript |         24 |          0 |          4 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\de-at.js                     | JavaScript |         59 |          2 |          5 |         66 |
